ano_mes,id_curso,tx_nome_curso,count
2025-08,797,Automação de Processos através da RPA para Transformação Digital,479
2025-08,802,Visualização de Dados Aplicada à Transformação Digital,49
2025-08,810,Desvendando a Inteligência Artificial na Administração Pública,467
2025-08,815,Storytelling com Dados para Comunicação Profissional de Sucesso,116
2025-08,861,Inteligência Artificial para simplificar o dia a dia,267
2025-08,956,Inovando na Gestão de Projetos,92
2025-08,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,209
2025-08,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,47
2025-08,1088,A História da IA,272
2025-08,1090,Ética em IA,392
2025-08,1091,Inteligência Artificial Generativa,470
2025-08,1139,Colaboração com o Microsoft 365,54
2025-08,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,61
2025-08,1167,IA Generativo da Microsoft - Copilot,263
2025-08,1263,Governo Data-Driven: transformação orientada por dados em governos,72
2025-08,1304,Visão Geral da IA no Azure,20
2025-08,1305,Fundamentos da Visão Computacional - IA do Azure,26
2025-08,1328,Processamento de Linguagem Natural,27
2025-08,1395,IA - Aplicações no Governo Federal,537
2025-09,107,Planejamento Estratégico para Organizações Públicas,95
2025-09,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,419
2025-09,270,Governança de Dados,62
2025-09,290,Proteção de Dados Pessoais no Setor Público,823
2025-09,343,Planejamento da Contratação de Soluções de TIC,15
2025-09,367,Novas Tecnologias para a Transformação Digital,119
2025-09,373,Liderança e Gestão De Equipes,528
2025-09,377,Inteligência Artificial no Contexto do Serviço Público,446
2025-09,406,Análise de dados como suporte à tomada de decisão,116
2025-09,419,Transformação Digital no Serviço Público,48
2025-09,529,"Como implementar a LGPD: bases, mecanismos e processos",134
2025-09,534,Internet das coisas (IoT) aplicada para resolução de desafios,75
2025-09,536,Governança de Dados na Transformação Digital,48
2025-09,629,Aprendendo com Python,51
2025-09,724,Gestão de Riscos em Projetos de Transformação Digital,27
2025-09,787,Gestão de projetos,43
2025-09,797,Automação de Processos através da RPA para Transformação Digital,245
2025-09,802,Visualização de Dados Aplicada à Transformação Digital,48
2025-09,810,Desvendando a Inteligência Artificial na Administração Pública,347
2025-09,815,Storytelling com Dados para Comunicação Profissional de Sucesso,114
2025-09,861,Inteligência Artificial para simplificar o dia a dia,237
2025-09,956,Inovando na Gestão de Projetos,72
2025-09,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,173
2025-09,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,49
2025-09,1088,A História da IA,331
2025-09,1090,Ética em IA,374
2025-09,1091,Inteligência Artificial Generativa,402
2025-09,1139,Colaboração com o Microsoft 365,54
2025-09,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,54
2025-09,1167,IA Generativo da Microsoft - Copilot,236
2025-09,1263,Governo Data-Driven: transformação orientada por dados em governos,59
2025-09,1304,Visão Geral da IA no Azure,17
2025-09,1305,Fundamentos da Visão Computacional - IA do Azure,25
2025-09,1328,Processamento de Linguagem Natural,25
2025-09,1395,IA - Aplicações no Governo Federal,303
2025-10,107,Planejamento Estratégico para Organizações Públicas,112
2025-10,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,521
2025-10,270,Governança de Dados,58
2025-10,290,Proteção de Dados Pessoais no Setor Público,1138
2025-10,343,Planejamento da Contratação de Soluções de TIC,22
2025-10,367,Novas Tecnologias para a Transformação Digital,115
2025-10,373,Liderança e Gestão De Equipes,584
2025-10,377,Inteligência Artificial no Contexto do Serviço Público,366
2025-10,406,Análise de dados como suporte à tomada de decisão,120
2025-10,419,Transformação Digital no Serviço Público,68
2025-10,529,"Como implementar a LGPD: bases, mecanismos e processos",148
2025-10,534,Internet das coisas (IoT) aplicada para resolução de desafios,107
2025-10,536,Governança de Dados na Transformação Digital,47
